City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
286,Urusha,RU,54.05,122.9,57.67,96,100,1.36,overcast clouds
287,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.36,82,83,11.03,broken clouds
288,Quatre Cocos,MU,-20.2078,57.7625,68.11,73,88,13.67,light rain
289,Henties Bay,NA,-22.116,14.2845,52.86,86,6,6.49,clear sky
290,Dongzhen,CN,22.3797,110.9389,78.51,94,100,2.44,light rain
291,Havre-Saint-Pierre,CA,50.2334,-63.5986,66.79,82,1,3.44,clear sky
292,Lamu,KE,-2.2717,40.902,75.42,79,69,15.9,broken clouds
293,San Jeronimo,PE,-11.9472,-75.2829,48.36,70,49,5.86,scattered clouds
294,Lorengau,PG,-2.0226,147.2712,83.75,74,99,8.37,overcast clouds
295,Umkomaas,ZA,-30.2067,30.7978,62.67,88,0,7.45,clear sky
296,Warrington,GB,53.3925,-2.5802,61.86,95,0,9.22,clear sky
297,Pinheiro Machado,BR,-31.5783,-53.3811,56.77,94,48,7.23,scattered clouds
298,Acarau,BR,-2.8856,-40.12,79.03,79,37,14.5,scattered clouds
299,Alanya,TR,36.5438,31.9998,87.49,46,0,4.65,clear sky
300,Vysotskoye,RU,45.025,42.9064,72.77,34,0,14.12,clear sky
301,Ozark,US,37.0209,-93.206,77.41,85,100,4.72,overcast clouds
302,Sitka,US,57.0531,-135.33,64.29,72,40,8.05,light rain
303,Muros,ES,42.7762,-9.0603,64.24,91,91,4.68,overcast clouds
304,Katsuura,JP,35.1333,140.3,86.18,76,61,9.53,broken clouds
305,Richards Bay,ZA,-28.783,32.0377,60.58,92,0,6.87,clear sky
306,Virginia Beach,US,36.8529,-75.978,79.11,66,20,5.75,few clouds
307,Bosaso,SO,11.2842,49.1816,88.23,45,78,22.37,light rain
308,Santa Lucia,ES,27.9117,-15.5407,63.77,88,75,26.46,broken clouds
309,Usakos,NA,-22.0,15.6,57.85,32,5,0.83,clear sky
310,Santa Marta De Tormes,ES,40.9506,-5.6272,62.62,66,0,4.0,clear sky
311,Vao,NC,-22.6667,167.4833,67.73,59,71,18.07,broken clouds
312,Duyun,CN,26.2667,107.5167,76.77,82,54,3.36,broken clouds
313,Alamosa,US,37.4695,-105.87,82.38,15,1,0.0,clear sky
314,Saint George,US,37.1041,-113.5841,111.67,10,1,8.01,clear sky
315,Whitehorse,CA,60.7161,-135.0538,70.02,60,75,10.36,shower rain
316,Progreso,MX,21.2833,-89.6667,87.12,79,0,16.75,clear sky
317,Shimoda,JP,34.6667,138.95,82.76,75,36,12.35,scattered clouds
318,Saint-Leu,RE,-21.15,55.2833,67.03,71,78,1.63,broken clouds
319,Ozernovskiy,RU,51.5,156.5167,52.57,71,9,21.32,clear sky
320,Acapulco,MX,16.8634,-99.8901,87.62,70,75,2.3,broken clouds
321,Kashi,CN,39.4547,75.9797,75.25,56,40,8.95,scattered clouds
322,Talgar,KZ,43.3027,77.2395,62.76,48,20,4.47,few clouds
323,Zapolyarnyy,RU,69.4154,30.8136,49.28,74,77,5.91,broken clouds
324,Khuzdar,PK,27.7384,66.6434,79.72,23,0,4.76,clear sky
325,Upernavik,GL,72.7868,-56.1549,44.55,68,12,5.48,few clouds
326,Resistencia,AR,-27.4606,-58.9839,64.45,73,0,2.3,clear sky
327,Ca Mau,VN,9.1769,105.15,80.28,86,96,5.84,overcast clouds
328,Marsa Matruh,EG,31.3525,27.2453,80.8,83,0,8.05,clear sky
329,Atkarsk,RU,51.8718,45.0078,62.69,54,89,5.28,overcast clouds
330,Airai,TL,-8.9266,125.4092,58.69,58,87,4.25,overcast clouds
331,Alta Floresta,BR,-9.8756,-56.0861,78.28,31,95,3.22,overcast clouds
332,Berdigestyakh,RU,62.0989,126.6992,70.59,28,16,9.28,few clouds
333,Leshukonskoye,RU,64.8989,45.7622,47.86,94,100,3.8,overcast clouds
334,Marrakesh,MA,31.6315,-8.0083,80.67,50,0,2.3,clear sky
335,Porangatu,BR,-13.4408,-49.1486,75.94,32,82,1.83,broken clouds
336,Te Anau,NZ,-45.4167,167.7167,41.86,91,72,1.25,broken clouds
337,Henderson,US,36.0397,-114.9819,112.44,9,1,17.27,clear sky
338,Talnakh,RU,69.4865,88.3972,68.31,66,86,1.34,overcast clouds
339,Lavrentiya,RU,65.5833,-171.0,53.85,92,100,1.86,light rain
340,Dombarovskiy,RU,50.7587,59.5386,71.67,48,78,7.9,broken clouds
341,General Pico,AR,-35.6566,-63.7568,57.81,45,0,13.04,clear sky
342,Jumla,NP,29.2747,82.1838,63.01,98,100,2.24,overcast clouds
343,Udachnyy,RU,66.4167,112.4,60.3,45,1,16.78,clear sky
344,Marystown,CA,47.1666,-55.1483,60.49,91,84,6.08,broken clouds
